order_time,original_product_id,age,price,age_range,prefecture,area,tab,big_category,middle_category,color,favorite,review
2015/03/07 0:00:00,331770,18,603,15歳-19歳,沖縄県,九州,レディース,スカート,ミニスカート,レッド,57752,3.95
2014/07/19 0:00:00,331923,26,555,25歳-29歳,山梨県,中部,レディース,パンツ,レギンス,F,3854,3.11
2015/11/24 0:00:00,851020,18,1307,15歳-19歳,大分県,九州,不明,,,-,359,3
2015/01/10 0:00:00,659852,47,1222,45歳-49歳,東京都,関東,レディース,トップス,ニット・セーター,V06(Vネックワンピ),24149,3.94
2015/02/28 0:00:00,79449,37,1598,35歳-39歳,北海道,北海道,レディース,パンツ,デニム,S(002),66647,3.9
2015/07/05 0:00:00,738058,29,800,25歳-29歳,沖縄県,九州,レディース,インナー,ショーツ,1.ブラック,172,4
2012/09/22 0:00:00,119857,23,1505,20歳-24歳,東京都,関東,レディース,ワンピース・ドレス,ワンピース,ピンク,2330,1.77
2016/01/27 0:00:00,867735,38,1140,35歳-39歳,福島県,東北,キッズ,トップス,Ｔシャツ,140cm,231,5
2015/08/29 0:00:00,810473,47,2499,45歳-49歳,沖縄県,九州,レディース,トップス,ブラウス,Mサイズ,440,3.33
2016/08/05 0:00:00,1193170,44,525,40歳-44歳,宮崎県,九州,レディース,インナー,インナーキャミソール,L,402,0
2014/10/21 0:00:00,300733,42,671,40歳-44歳,広島県,中国,レディース,スカート,ミニスカート,,54,5
2016/09/01 0:00:00,1046892,15,542,15歳-19歳,福岡県,九州,レディース,スカート,ミニスカート,ホワイト,7904,3.8
2016/07/08 0:00:00,1134775,47,980,45歳-49歳,,,レディース,トップス,Ｔシャツ,ネイビー,6720,4.21
2016/05/17 0:00:00,987869,20,1666,20歳-24歳,大阪府,近畿,レディース,シューズ,フラットシューズ,グレー,8618,3.17
2014/09/01 0:00:00,468641,41,1441,40歳-44歳,福井県,中部,レディース,バッグ,トートバッグ,ブラック,735,3.9
2013/05/16 0:00:00,215379,26,1143,25歳-29歳,埼玉県,関東,レディース,小物,ベルト,F,52,1
2016/07/03 0:00:00,753103,41,999,40歳-44歳,兵庫県,近畿,レディース,トップス,キャミソール,フリー,51910,3.62
2013/02/12 0:00:00,115355,27,1220,25歳-29歳,奈良県,近畿,レディース,シューズ,ムートンブーツ,M,7753,4.15
2016/06/08 0:00:00,982784,36,1780,35歳-39歳,東京都,関東,レディース,トップス,シャツ,M,37,0
2013/11/08 0:00:00,319411,30,2172,30歳-34歳,東京都,関東,レディース,バッグ,トートバッグ,ブルー,3454,2.82
2014/06/06 0:00:00,507017,25,1186,25歳-29歳,大阪府,近畿,レディース,パンツ,パンツ全般,M,59,5
2016/03/29 0:00:00,878787,45,1520,45歳-49歳,大阪府,近畿,レディース,トップス,カットソー,L,773,4.37
